TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_RIGHT,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyro_X,Gyro_Y,Gyro_Z,HeadBandOn,HSI_TP9,HSI_AF7,HSI_AF8,HSI_TP10,Battery,Elements
2018-03-17 08:05:25.450,1.815797562483278,0.9735081499722489,0.5049861566544092,1.183076589070216,0.9277579005324468,0.03326548383520082,-0.115184932154663,0.9202491569072659,0.9538859564655111,-0.1379028872753979,-0.3542000757561842,0.67465913694349,0.8617790567064658,-0.4190000234603037,-0.3997591160294279,0.7138272536675636,0.9898206586625431,-0.8916056971992397,-0.8478940918559177,0.9110877584377181,888.8644688644689,874.3589743589744,830.4395604395604,816.3369963369963,893.6996336996338,-0.479309,0.392456,0.788635,4.747772,-5.697327,-94.177856,1,1,1,1,1,98.921875
2018-03-17 08:05:26.451,2.055424159765642,1.627103828836234,0.9379058837658399,1.183076589070216,1.07473926947279,1.001739984117109,0.5099243536686398,0.9202491569072659,0.8344370099164178,0.2928974257589653,0.03195547423562854,0.67465913694349,0.8778514607072437,-0.3742255702233929,-0.463546562354587,0.7138272536675636,1.014529147999565,-0.8355866469533973,-0.6962082541788143,0.9110877584377181,888.4615384615385,855.0183150183151,842.9304029304029,967.8388278388279,922.7106227106227,-0.458435,0.041931,0.852966,-34.767151,5.637512,56.240540,1,1,1,1,1,98.921875
2018-03-17 08:05:27.037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2018-03-17 08:05:27.352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2018-03-17 08:05:27.455,2.055424159765642,1.728118478316593,1.52206819436586,1.183076589070216,1.07473926947279,1.101061069588778,0.8154830331992829,0.9202491569072659,0.8344370099164178,0.4799558139758438,0.4838614414623578,0.67465913694349,0.8778514607072437,-0.337009573069673,-0.3130450844124297,0.7138272536675636,1.014529147999565,-0.7748068678436409,-0.7644114174483743,0.9110877584377181,799.4139194139194,792.5641025641025,759.1208791208792,282.4542124542124,835.2747252747253,-0.877136,0.221985,1.342468,1.854248,-34.385834,5.009460,1,1,1,1,1,98.921875
2018-03-17 08:05:28.464,2.055424159765642,1.638741719827219,1.654185004946962,1.183076589070216,1.07473926947279,0.9051858650733636,0.7674248506458532,0.9202491569072659,0.8344370099164178,0.3491928832798448,0.4410330058286042,0.67465913694349,0.8778514607072437,-0.3209754599600271,-0.277793035958769,0.7138272536675636,1.014529147999565,-0.7055051504438594,-0.7286000502139864,0.9110877584377181,860.6593406593407,855.8241758241759,855.8241758241759,1010.14652014652,860.2564102564103,-1.055359,-0.047729,0.174377,0.628052,16.792908,14.460144,1,2,1,1,2,98.921875
2018-03-17 08:05:29.450,2.055424159765642,1.588578966654598,1.185537902027487,1.183076589070216,1.07473926947279,0.6476316072878128,0.2404027733047449,0.9202491569072659,0.8344370099164178,0.23507668265791,-0.1933908017672319,0.67465913694349,0.8778514607072437,-0.3745459327254643,-0.1769153059461128,0.7138272536675636,1.014529147999565,-0.8931661526660638,-0.8352509051278219,0.9110877584377181,795.7875457875458,823.1868131868132,833.6630036630037,532.2710622710623,862.6739926739926,-0.840271,0.152100,0.323303,9.585266,-1.510315,-24.299622,1,2,1,1,2,98.921875
2018-03-17 08:05:30.450,1.590285746241366,1.198155348031533,1.442859378732959,1.183076589070216,0.7067484988178113,0.5052071183748038,0.01425209157559928,0.9202491569072659,1.153773977111851,-0.3195164620413413,0.1311146763882245,0.67465913694349,1.511958832914315,-0.3160974300490657,-0.2704620362194405,0.7138272536675636,1.463560696975843,-0.7964596390963524,-0.7694011359489581,0.9110877584377181,719.2307692307693,878.3882783882784,855.0183150183151,572.1611721611722,840.1098901098901,-0.957214,0.062927,0.023621,3.289795,2.609406,3.544006,1,1,1,1,2,98.921875
2018-03-17 08:05:31.450,1.590285746241366,2.137018798018151,1.95515434786662,1.183076589070216,0.7067484988178113,0.7082342111294732,0.4088038766151987,0.9202491569072659,1.153773977111851,0.4950460922413443,0.2406264230637836,0.67465913694349,1.511958832914315,-0.2384884000457869,-0.1447897476988425,0.7138272536675636,1.463560696975843,-0.5689224861357252,-0.4287100149264702,0.9110877584377181,920.6959706959707,873.5531135531136,895.3113553113553,849.7802197802198,855.4212454212454,-0.975952,0.082336,0.031677,5.981445,8.643188,-2.504730,1,1,1,1,4,98.921875
2018-03-17 08:05:32.450,1.949169171993836,2.191565390749433,1.837967561301332,1.183076589070216,0.9961652462847709,0.4896838517882555,0.5116366054830751,0.9202491569072659,0.8815449646360757,0.4657159341468168,0.169191622772673,0.67465913694349,0.286428153998296,-0.3571922366719829,-0.3537759237913587,0.7138272536675636,0.06344701299005195,-0.7231268730179892,-0.679230762260719,0.9110877584377181,842.5274725274726,850.5860805860806,870.7326007326008,1241.428571428572,872.7472527472528,-0.979614,0.085327,-0.067566,6.003876,-12.217102,13.847046,1,1,1,1,2,98.921875
